City,Realitor Rank,2020 Census,2010 Census,Change,County,latitude,longitude,wikiDataId
Loretto,432-(T),664,650,0.0215,Hennepin,44.48024,-93.42856,Q2333599
Maple Grove,9,70253,61567,0.1411,Hennepin,45.07246,-93.45579,Q983741
Maple Plain,253,2114,1768,0.1957,Hennepin,45.00719,-93.65579,Q2228155
Maplewood,24,42088,38018,0.1071,Ramsey,44.95302,-92.99522,Q990856
Mayer,243,2266,1749,0.2956,Carver,44.88496,-93.88775,Q2229369
Medicine Lake,319,1256,1239,0.0137,Steele,44.17413,-93.24632,Q925033
Medina,129,6837,4892,0.3976,Hennepin,45.03524,-93.58246,Q2228269
Mendota,313,1302,1306,−0.31%,Wadena,46.75385,-95.09808,Q1924212
Mendota Heights,92,11744,11071,0.0608,Dakota,44.88358,-93.13827,Q984601
Miesville,92,11744,11071,0.0608,Dakota,44.88358,-93.13827,Q984601
Minneapolis,1,429954,382578,0.1238,Hennepin,44.97997,-93.26384,Q36091
Minnetonka Beach,462,581,539,0.0779,Hennepin,44.9133,-93.50329,Q923384
Minnetonka,18,53781,49734,0.0814,Hennepin,44.9133,-93.50329,Q923384
Minnetrista,115,8262,6384,0.2942,Hennepin,44.9383,-93.71774,Q2232122
Monticello,75,14455,12759,0.1329,Wright,45.30552,-93.79414,Q1913775
Montrose,196,3317,2847,0.1651,Wright,45.06496,-93.91108,Q2192163
Mound,104,9398,9052,0.0382,Hennepin,44.93663,-93.66607,Q2025450
Mounds View,85,13249,12155,0.09,Ramsey,45.10497,-93.20856,Q1958703
New Brighton,48,23454,21456,0.0931,Ramsey,45.06552,-93.20189,Q1986542
North Oaks,145,5272,4469,0.1797,Ramsey,45.10274,-93.07911,Q2229230
New Germany,48,23454,21456,0.0931,Ramsey,45.06552,-93.20189,Q1986542
New Hope,52,21986,20339,0.081,Hennepin,45.03802,-93.38662,Q987154
New Prague,116,8162,7321,0.1149,"Scott
Le Sueur",44.5433,-93.57607,Q1901204
New Trier,331,1182,1203,−1.75%,Waseca,43.89385,-93.49383,Q2228040
North Branch,97,10787,10125,0.0654,Chisago,45.51135,-92.98022,Q1913823
North St. Paul,89,12364,11460,0.0789,Ramsey,45.01247,-92.99188,Q1932960
Northfield,56,20790,20007,0.0391,"Rice
Dakota",44.4583,-93.1616,Q996544
Norwood Young America,181,3769,3549,0.062,Carver,44.77357,-93.92163,Q1008725
Oakdale,33,28303,27378,0.0338,Washington,44.96302,-92.96494,Q986185
Oak Grove,109,8929,8031,0.1118,Anoka,45.3408,-93.3269,Q1916839
Oak Park Heights,149,5003,4339,0.153,Washington,45.03136,-92.79298,Q2228020
Orono,114,8315,7437,0.1181,Hennepin,44.97135,-93.6044,Q636069
Osseo,219,2738,2430,0.1267,Hennepin,45.11941,-93.40245,Q2229441
Otsego,60,19966,13571,0.4712,Wright,45.27413,-93.59135,Q990850
Plymouth,7,81026,70576,0.1481,Hennepin,45.01052,-93.45551,Q936753
Princeton,155,4729,4698,0.0066,"Mille Lacs
Sherburne",45.56997,-93.58163,Q2228008
Prior Lake,36,27617,22796,0.2115,Scott,44.7133,-93.42273,Q993458
Ramsey,35,27646,23668,0.1681,Anoka,45.2611,-93.45,Q1992875
Randolph,449,624,650,−4.00%,Morrison,45.01706,-93.09961,Q491201
Richfield,26,36994,35228,0.0501,Hennepin,44.8833,-93.283,Q988916
Robbinsdale,72,14646,13953,0.0497,Hennepin,45.03219,-93.33856,Q2045704
Rockford,160,4515,4316,0.0461,"Wright
Hennepin",45.0883,-93.73441,Q1590880
Rogers,84,13295,8597,0.5465,Hennepin,45.18885,-93.55301,Q1924299
Rosemount,43,25650,21874,0.1726,Dakota,44.73941,-93.12577,Q1986505
Roseville,27,36254,33660,0.0771,Ramsey,45.00608,-93.15661,Q983979
Rush City,199,3218,3079,0.0451,Chisago,45.68551,-92.96549,Q2198913
Saint Anthony Village,492,502,548,−8.39%,Renville,43.8083,-91.75293,Q2228999
Savage,31,32465,26911,0.2064,Scott,44.77913,-93.33634,Q2045683
Shafer,340,1117,1045,0.0689,Chisago,45.38691,-92.74771,Q979710
Shakopee,23,43698,37076,0.1786,Scott,44.79802,-93.5269,Q729470
Shoreview,37,26921,25043,0.075,Ramsey,45.07913,-93.14717,Q989471
Shorewood,120,7783,7307,0.0651,Hennepin,44.9008,-93.58912,Q2567178
South Haven,194,3356,3599,−6.75%,Brown,44.29718,-94.72415,Q930939
South St. Paul,57,20759,20160,0.0297,Dakota,44.89274,-93.03494,Q1003641
Spring Lake Park,125,7188,6412,0.121,"Anoka
Ramsey",45.10774,-93.238,Q1927062
Spring Park,273,1784,1669,0.0689,Hennepin,44.93524,-93.63218,Q2327597
St. Anthony,257,2004,2152,−6.88%,Brown,44.23885,-94.97582,Q726963
St. Bonifacius,237,2374,2283,0.0399,Hennepin,44.23885,-94.97582,Q726963
St. Cloud,12,68881,65842,0.0462,"Stearns
Benton
Sherburne",44.23885,-94.97582,Q726963
St. Francis,117,8142,7218,0.128,"Anoka
Isanti",44.23885,-94.97582,Q726963
St. Louis Park,20,50010,45250,0.1052,Hennepin,44.23885,-94.97582,Q726963
St. Michael,65,18235,16399,0.112,Wright,44.23885,-94.97582,Q726963
Saint Paul,2,311527,285068,0.0928,Ramsey,44.94441,-93.09327,Q28848
Stacy,293,1518,1456,0.0426,Chisago,45.39802,-92.98744,Q1003860
Stillwater,61,19394,18225,0.0641,Washington,45.05636,-92.80604,Q862658
Sunfish Lake,474,544,521,0.0441,Dakota,45.05636,-92.80604,Q862658
Taylors Falls,351,1034,976,0.0594,Chisago,45.40191,-92.65243,Q2124648
Tonka Bay,288,1568,1475,0.0631,Hennepin,44.90857,-93.59301,Q1816668
Vadnais Heights,87,12912,12302,0.0496,Ramsey,45.05747,-93.07383,Q1992815
Vermillion,87,12912,12302,0.0496,Ramsey,45.05747,-93.07383,Q1992815
Victoria,98,10546,7345,0.4358,Carver,44.85857,-93.66163,Q2038025
Waconia,86,13033,10697,0.2184,Carver,44.8508,-93.78691,Q1023024
Watertown,159,4529,4205,0.0771,Carver,44.96357,-93.84719,Q1755519
Waverly,286,1603,1357,0.1813,Wright,45.06663,-93.96636,Q1926770
Wayzata,157,4657,3688,0.2627,Hennepin,44.97413,-93.50662,Q2227844
West St. Paul,58,20615,19540,0.055,Dakota,44.91608,-93.10161,Q2036838
White Bear Lake,44,24883,23797,0.0456,"Ramsey
Washington",45.08469,-93.00994,Q1986513
Woodland,498,486,437,0.1121,Hennepin,44.92386,-92.95938,Q862672
Woodbury,8,75102,61961,0.2121,Washington,44.92386,-92.95938,Q862672
Wyoming,119,8032,7791,0.0309,Chisago,45.33636,-92.99716,Q282815
Zimmerman,135,6189,5228,0.1838,Sherburne,45.4433,-93.58996,Q2227857
